Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Colorado,Rail and water,2007,16,S,S,1925
Colorado,Other multiple modes,2012,0,0,0,0
Colorado,Other multiple modes,2007,S,S,S,S
Colorado,Other modes,2012,0,0,0,0
Colorado,Other modes,2007,2406,1607,231,38
Connecticut,All modes,2012,271125,179846,32455,531
Connecticut,All modes,2007,142787,79117,11702,641
Connecticut,Single modes,2012,242366,176799,31158,161
Connecticut,Single modes,2007,115546,76823,10579,223
Connecticut,Truck,2012,235893,173097,29153,146
Connecticut,Truck,2007,103878,75753,9937,194
Connecticut,For-hire truck,2012,131190,85491,25806,335
Connecticut,For-hire truck,2007,45002,21237,7092,762
Connecticut,Private truck,2012,104703,87606,3347,58
Connecticut,Private truck,2007,58876,54516,2845,46
Connecticut,Rail,2012,S,2340,1944,318
Connecticut,Rail,2007,600,990,501,S
Connecticut,Water,2012,3,150,15,103
Connecticut,Water,2007,0,0,0,0
Connecticut,Inland water,2012,3,150,15,103
Connecticut,Inland water,2007,0,0,0,0
Connecticut,Air (incl truck and air),2012,5073,60,42,1011
Connecticut,Air (incl truck and air),2007,11067,S,S,1398
Connecticut,Pipeline,2012,1180,1151,S,S
Connecticut,Pipeline,2007,0,0,S,S
Connecticut,Multiple modes,2012,28759,3048,1297,889
Connecticut,Multiple modes,2007,25678,1043,1006,980
Connecticut,"Parcel, U.S.P.S. or courier",2012,28003,483,384,889
Connecticut,"Parcel, U.S.P.S. or courier",2007,24963,537,383,980
Connecticut,Truck and rail,2012,S,S,S,S
Connecticut,Truck and rail,2007,341,S,610,1486
Connecticut,Truck and water,2012,29,2,7,5303
Connecticut,Truck and water,2007,373,26,13,1732
Connecticut,Rail and water,2012,S,S,35,68
Connecticut,Rail and water,2007,0,0,0,0
Connecticut,Other multiple modes,2012,0,0,0,0
Connecticut,Other multiple modes,2007,S,S,S,S
Connecticut,Other modes,2012,0,0,0,0
Connecticut,Other modes,2007,1563,1251,117,S
Delaware,All modes,2012,42768,25537,2786,424
Delaware,All modes,2007,34757,25679,4422,281
Delaware,Single modes,2012,35383,24876,2519,427
Delaware,Single modes,2007,29235,23453,3688,126
Delaware,Truck,2012,33624,24341,1850,181
Delaware,Truck,2007,23000,17283,2331,82
Delaware,For-hire truck,2012,22546,14235,1413,368
Delaware,For-hire truck,2007,16642,7771,1916,243
Delaware,Private truck,2012,11079,10105,438,29
Delaware,Private truck,2007,6358,9512,415,31
Delaware,Rail,2012,S,S,S,1337
Delaware,Rail,2007,S,501,468,1983
Delaware,Water,2012,S,S,S,S
Delaware,Water,2007,S,S,S,519
Delaware,Inland water,2012,0,0,0,0
Delaware,Inland water,2007,S,S,S,S
Delaware,Deep sea,2012,0,0,0,0
Delaware,Deep sea,2007,845,1269,S,667
Delaware,Multiple Waterways,2012,S,S,S,S
Delaware,Multiple Waterways,2007,X,X,X,X
Delaware,Air (incl truck and air),2012,850,6,S,3777
Delaware,Air (incl truck and air),2007,1014,3,4,1295
Delaware,Pipeline,2012,0,0,S,S
Delaware,Pipeline,2007,2727,4395,S,S
Delaware,Multiple modes,2012,7385,662,266,422
Delaware,Multiple modes,2007,5031,2118,681,366
Delaware,"Parcel, U.S.P.S. or courier",2012,6941,S,59,422
Delaware,"Parcel, U.S.P.S. or courier",2007,3218,129,75,365
Delaware,Truck and rail,2012,444,S,207,S
Delaware,Truck and rail,2007,391,192,S,1817
Delaware,Truck and water,2012,S,S,S,S
Delaware,Truck and water,2007,S,S,S,S
Delaware,Rail and water,2012,0,0,0,0
Delaware,Rail and water,2007,S,S,S,S
Delaware,Other multiple modes,2012,0,0,0,0
Delaware,Other multiple modes,2007,S,1478,S,172
Delaware,Other modes,2012,0,0,0,0
Delaware,Other modes,2007,491,S,53,S
District of Columbia,All modes,2012,2509,3049,S,S
District of Columbia,All modes,2007,2876,4505,57,776
District of Columbia,Single modes,2012,2401,3048,S,S
District of Columbia,Single modes,2007,2409,4481,50,21
District of Columbia,Truck,2012,2401,3048,S,S
District of Columbia,Truck,2007,2407,4481,50,21
District of Columbia,For-hire truck,2012,754,765,S,S
District of Columbia,For-hire truck,2007,S,S,S,S
District of Columbia,Private truck,2012,1647,2284,60,15
District of Columbia,Private truck,2007,2185,3380,35,19
District of Columbia,Air (incl truck and air),2012,S,Z,S,S
District of Columbia,Air (incl truck and air),2007,2,Z,Z,333
District of Columbia,Multiple modes,2012,108,1,Z,862
District of Columbia,Multiple modes,2007,365,6,S,969
District of Columbia,"Parcel, U.S.P.S. or courier",2012,108,1,Z,862
District of Columbia,"Parcel, U.S.P.S. or courier",2007,365,6,S,969
District of Columbia,Other modes,2012,0,0,0,0
District of Columbia,Other modes,2007,102,S,S,987
Florida,All modes,2012,440516,414015,61698,700
Florida,All modes,2007,399941,540450,73811,500
Florida,Single modes,2012,366543,397410,54778,222
Florida,Single modes,2007,318458,512329,56970,138
Florida,Truck,2012,339635,372719,42623,177
Florida,Truck,2007,306131,487983,48420,117
Florida,For-hire truck,2012,187483,212169,35554,428
Florida,For-hire truck,2007,138241,203179,35673,407
Florida,Private truck,2012,152152,160551,7069,46
Florida,Private truck,2007,167890,284805,12747,45
Florida,Rail,2012,4761,22244,11514,1054
Florida,Rail,2007,4870,23910,8346,689
Florida,Water,2012,85,271,452,S
Florida,Water,2007,186,151,S,S
Florida,Inland water,2012,15,146,S,S
Florida,Inland water,2007,19,7,Z,S
Florida,Deep sea,2012,50,86,391,2761
Florida,Deep sea,2007,167,144,S,S
Florida,Multiple Waterways,2012,S,S,S,S
Florida,Multiple Waterways,2007,X,X,X,X
Florida,Air (incl truck and air),2012,19885,317,180,1047
Florida,Air (incl truck and air),2007,7249,119,121,1327
Florida,Pipeline,2012,S,S,S,S
Florida,Pipeline,2007,S,S,S,S
Florida,Multiple modes,2012,73973,16606,6920,976
Florida,Multiple modes,2007,70344,21326,16202,1037
Florida,"Parcel, U.S.P.S. or courier",2012,67381,721,609,977
Florida,"Parcel, U.S.P.S. or courier",2007,63066,955,765,1038
Florida,Truck and rail,2012,6177,15745,6249,S
Florida,Truck and rail,2007,5150,16588,12661,652
Florida,Truck and water,2012,412,138,61,1162
Florida,Truck and water,2007,1976,2963,2298,828
Florida,Rail and water,2012,S,S,S,S
Florida,Rail and water,2007,S,S,S,S
Florida,Other multiple modes,2012,0,0,0,0
Florida,Other multiple modes,2007,137,S,S,S
Florida,Other modes,2012,0,0,0,0
Florida,Other modes,2007,11138,6796,640,69
Georgia,All modes,2012,395725,272760,62439,472
Georgia,All modes,2007,377718,372777,70173,448
Georgia,Single modes,2012,346894,264381,56764,262
Georgia,Single modes,2007,331477,360975,64624,231
Georgia,Truck,2012,319668,239271,44461,233
Georgia,Truck,2007,317143,337979,54402,209
Georgia,For-hire truck,2012,221268,135105,38707,405
Georgia,For-hire truck,2007,190646,152060,40064,489
Georgia,Private truck,2012,98400,104166,5754,67
Georgia,Private truck,2007,126498,185918,14338,64
Georgia,Rail,2012,9357,23046,12213,1066
Georgia,Rail,2007,5066,21288,10145,497
Georgia,Water,2012,S,S,S,S
Georgia,Water,2007,S,S,S,S
Georgia,Inland water,2012,S,S,S,S
Georgia,Inland water,2007,S,S,S,S
Georgia,Deep sea,2012,0,0,0,0
Georgia,Deep sea,2007,S,S,S,S
Georgia,Multiple Waterways,2012,11,3,Z,4
Georgia,Multiple Waterways,2007,X,X,X,X
Georgia,Air (incl truck and air),2012,16506,86,87,920
Georgia,Air (incl truck and air),2007,8303,83,67,1037
Georgia,Pipeline,2012,S,S,S,S
Georgia,Pipeline,2007,S,S,S,S
Georgia,Multiple modes,2012,48831,8379,5674,683
Georgia,Multiple modes,2007,39711,6351,4541,703
Georgia,"Parcel, U.S.P.S. or courier",2012,41227,868,526,682
Georgia,"Parcel, U.S.P.S. or courier",2007,36086,1391,796,703
Georgia,Truck and rail,2012,7071,7357,4867,1148
Georgia,Truck and rail,2007,2558,4681,3408,498
Georgia,Truck and water,2012,470,S,231,2713
Georgia,Truck and water,2007,970,260,S,1847
Georgia,Rail and water,2012,S,S,S,S
Georgia,Rail and water,2007,91,17,S,1042
Georgia,Other multiple modes,2012,0,0,0,0
Georgia,Other multiple modes,2007,S,S,S,S
Georgia,Other modes,2012,0,0,0,0
Georgia,Other modes,2007,6530,5451,1008,S
Hawaii,All modes,2012,22156,25730,S,571
Hawaii,All modes,2007,22043,35270,1547,92
Hawaii,Single modes,2012,20259,25112,S,236
Hawaii,Single modes,2007,19373,34452,1096,42
Hawaii,Truck,2012,11256,14514,199,14
Hawaii,Truck,2007,10381,18576,242,16
Hawaii,For-hire truck,2012,3560,6991,71,14
Hawaii,For-hire truck,2007,1465,6893,90,13
Hawaii,Private truck,2012,7696,7524,128,14
Hawaii,Private truck,2007,8916,11683,152,16
Hawaii,Rail,2012,S,S,S,S
Hawaii,Rail,2007,0,0,0,0
Hawaii,Water,2012,602,406,117,212
Hawaii,Water,2007,469,785,247,237
Hawaii,Inland water,2012,S,S,S,S
Hawaii,Inland water,2007,0,0,0,0
Hawaii,Deep sea,2012,601,405,117,212
Hawaii,Deep sea,2007,469,785,247,237
Hawaii,Air (incl truck and air),2012,1027,150,81,2032
Hawaii,Air (incl truck and air),2007,721,S,118,1248
Hawaii,Pipeline,2012,7366,10030,S,S
Hawaii,Pipeline,2007,7801,14889,S,S
Hawaii,Multiple modes,2012,1896,618,272,1955
Hawaii,Multiple modes,2007,2098,522,444,1080
Hawaii,"Parcel, U.S.P.S. or courier",2012,934,17,22,2214
Hawaii,"Parcel, U.S.P.S. or courier",2007,1076,16,10,1284
Hawaii,Truck and water,2012,957,597,230,208
Hawaii,Truck and water,2007,1015,500,382,302
Hawaii,Other multiple modes,2012,S,S,S,S
Hawaii,Other multiple modes,2007,S,S,S,S
Hawaii,Other modes,2012,0,0,0,0
Hawaii,Other modes,2007,572,297,8,S
Idaho,All modes,2012,41405,44001,24417,616
Idaho,All modes,2007,38452,46584,20153,539
Idaho,Single modes,2012,34412,40977,20692,182
Idaho,Single modes,2007,30515,43196,17390,220
Idaho,Truck,2012,28164,33205,10854,132
Idaho,Truck,2007,25373,34863,9365,180
Idaho,For-hire truck,2012,16218,16074,9601,361
Idaho,For-hire truck,2007,12901,14513,8135,835
Idaho,Private truck,2012,11946,17131,1253,66
Idaho,Private truck,2007,12472,20350,1230,49
Idaho,Rail,2012,4611,7770,9834,1464
Idaho,Rail,2007,2199,5841,7888,1473
Idaho,Water,2012,0,0,0,0
Idaho,Water,2007,S,S,S,S
Idaho,Inland water,2012,0,0,0,0
Idaho,Inland water,2007,S,S,S,S
Idaho,Air (incl truck and air),2012,S,2,4,2332
Idaho,Air (incl truck and air),2007,S,S,S,1836
Idaho,Pipeline,2012,0,0,S,S
Idaho,Pipeline,2007,75,S,S,S
Idaho,Multiple modes,2012,6993,3024,3725,1146
Idaho,Multiple modes,2007,6860,2270,2578,1105
Idaho,"Parcel, U.S.P.S. or courier",2012,5821,63,51,1145
Idaho,"Parcel, U.S.P.S. or courier",2007,5780,123,106,1105
Idaho,Truck and rail,2012,1147,2925,3562,1664
Idaho,Truck and rail,2007,907,1741,2223,1351
Idaho,Truck and water,2012,26,S,S,3060
Idaho,Truck and water,2007,163,S,S,S
Idaho,Rail and water,2012,0,0,0,0
Idaho,Rail and water,2007,Z,2,3,1676
Idaho,Other multiple modes,2012,0,0,0,0
Idaho,Other multiple modes,2007,S,S,21,S
Idaho,Other modes,2012,0,0,0,0
Idaho,Other modes,2007,1077,1117,185,64
Illinois,All modes,2012,825191,606874,149574,517
Illinois,All modes,2007,639177,626898,180924,520
Illinois,Single modes,2012,685279,581853,133066,310
Illinois,Single modes,2007,503711,568218,147295,221
Illinois,Truck,2012,592716,406182,62449,284
Illinois,Truck,2007,435723,405266,64408,185
Illinois,For-hire truck,2012,424941,236894,53165,548
Illinois,For-hire truck,2007,277890,200949,50721,488
Illinois,Private truck,2012,167775,169288,9284,42
Illinois,Private truck,2007,157833,204317,13687,62
Illinois,Rail,2012,34802,110051,47333,515
Illinois,Rail,2007,21298,64461,38773,680
Illinois,Water,2012,7349,18391,15551,540
Illinois,Water,2007,5559,46047,35515,441
Illinois,Inland water,2012,7180,17980,15018,502
Illinois,Inland water,2007,5559,46047,35515,441
Illinois,Multiple Waterways,2012,170,412,533,1254
Illinois,Multiple Waterways,2007,X,X,X,X
